start	end	text
666780	672040	jedu dlouhý kopec a předjede mě nějaký nýmand na elektrokole.
673000	673760	To naštve, že?
674620	677460	Tak jsme se souhlasili, že to musí naštvat,
677680	679240	společně jsme se tomu zasmáli.
679600	684480	No a já jsem si tuto situaci aplikoval na zlínské poměry,
685560	692720	kdy někdo mladý, krásný a možná i s dostatečnými rozhodovacími pravomocemi
692720	696640	si taky vyjel na elektrokole a předjel ho,
696780	701180	dědek jako já, nebo postarší paní.
702000	703880	No tak to samozřejmě naštve.
704840	706980	Já vám taky šlápnu na kuří oko.
707720	708460	Ale jak to udělat?
708520	710620	Nemůžu to svéc na to, že mě to ponížilo.
711800	715800	Dobrá, bezpečnost se dneska sklonuje ve všech pádech.
716220	718040	Má to baterii, je to nebezpečné.
718460	720240	Vyřadíme vás z MHD.
720240	722720	Je to pěkné.
723020	726320	Já sice souhlasím s tím, že určité nebezpečí to představuje.
727040	731400	Ovšem já vám navrhuji teda v tom případě další věci,
731560	734240	které jsou stejně nebezpečné, ba přímo nebezpečnější
734240	737020	a musíte je také aplikovat.
737520	741300	První věc je mobilní telefony, tablety.
742420	745480	Taky občas tyto baterie vybuchnou a zkusují požár.
746120	747820	Vyloučit z MHD, je to jasné.
748720	751240	Další věc je podstatně závažnější.
752840	756820	Představte si, že elektromobil vjede do parkovacího domu
756820	760480	na dlouhé ulici, několika patrového,
760480	764920	anebo vjede do krytého parkoviště pod kongresovým centrem.
766120	768360	Jeho baterie najednou začne hořet.
768520	772040	Představte si tuto eventuální situaci a stává se to.
773180	776260	Tak nám zhoří celé kongresové centrum,
777500	779520	proč se tato baterie nedá uhasit,
780160	783460	anebo nám zhoří parkoviště na dlouhé ulici
783460	784740	i s přilehlými obchody.
786240	788220	Nepředstavitelné zakázat.
788220	791700	Třetí věc, kterou bych rád připomněl,
792500	793860	vím, že před pár lety
793860	796960	dopravní společnost pořídila
796960	800180	trolejbusy, autobusy
800180	801780	bateriovým pohonem.
803260	805940	Náklad samozřejmě desítky milionů.
806720	807540	Nicméně,
808900	810600	tato baterie je
810600	813900	stokrát těžší, než baterie v elektrokole.
813900	816080	A v případě, že začne hořet,
817240	821860	tak samozřejmě, že ta teplota je v řádech stovek stupňů vyšší,
822000	822900	než u elektropola.
823900	825340	To nebezpečí obrovské.
826500	830860	Čili nezbývá, než tady tyto autobusy a trolejbusy vyřadit.
830860	833180	Já si moc mluvám čas.
834280	834660	Už?
834900	835740	Čtyři minuty.
836300	837820	Tak já jenom velice stupňu.
837820	838560	Dokončte věc.
838580	842200	Takže pokládám to za velice špatné.
842660	845800	Tyto návrhy jsou teda určitým způsobem
845800	847820	samozřejmě nesmyslné, jsou to ptákoviny.
848420	851000	Ale o co větší ptákovina je,
851320	852960	když tady zakazujete elektrokola.
853080	855300	A jenom velice krátká poznámka na závěr.
856800	859160	Zkuste si u prodejců elektrokol zjistit,
859160	862940	jaká je věkové složení těch, co si je pořizují.
862940	865340	Jsou to ženy vyššího středního věku,
865920	868640	45, 50 plus a 60 plus.
869000	870420	Jenom ještě dokončím,
870800	874440	žádná společnost na světě neostraktizuje
874440	877780	a nešikanuje starší muže a starší ženy.
877900	878860	A já budu doufat,
879440	884080	že Zlín zůstane demokratickým a solidním městem,
884620	886020	který si tyto věci nedovolí.
886120	887260	Děkuji vám za pozornost.
887480	888340	Taky vám děkuji.
888340	890860	Tak, jak jste si zaškrkl v přihlášce,
891820	893560	písemně vám odpovíme do 30 dnů.
893720	894260	Děkuji vám.
894740	896180	Druhým vystupujícím pan Hrůza.
896180	907480	Dobrý den, dámy a pánové.
908000	909640	Dobrý den, pane primátore.
910580	913160	Tak jak jsem v minulosti slípil,
913340	915600	tak dodržuji tento slíp
915600	920800	a vyjádřím se ke zvýšení domovních daní.
920800	926820	Je to nemožné, jak okolí to zvedli.
927180	932560	Minulý týden jsem obdržel k zaplacení složenku,
933280	935020	tak jsem se domníval,
935180	937800	že to bude to snížení dělat víc.
937800	941540	Ale je to pořád šestkrát víc,
941640	943960	než před těmi třemi lety.
944420	946920	Což se mně nelíbí
946920	950900	a rozhodně také spoustě druhých lidí.
952160	955080	No, dále bych chtěl upozornit,
955080	960300	že ty náklady, co máte
960300	965560	s tou akcí toho více účelového domu
965560	968840	a jiných, na kterou si berete
968840	972540	značnou půjčku u komerční banky.
972980	975440	Nevím, proč zrovna komerční,
975580	977240	to je francouzská banka.
977900	980220	To, když máte družbu s Francií,
980340	983460	tak neznamená, že musíte mít francouzskou banku.
983460	987420	No, jsou tady spousta bank i českých,
987760	989700	tak ty bychom mohli podporovat.
989780	990800	Nerozumím tému,
991820	993400	třeba mi to někdo vysvětlí.
994120	996760	Není o všem, nejde jenom o peníze,
996880	997720	jde taky o to,
998140	1000360	že byste měli být solidární,
1000480	1003240	protože třeba takové ty české banky
1003240	1005140	docela dost podporují tady
1005140	1008020	místní sportovce, hokejisty a podobně.
1008740	1010880	No, dále bych chtěl upozornit,
1010880	1014300	že je tady velice dobře vedený
1014300	1016400	ten magazin z lín.
1016900	1022460	Opravdu je tam vytýšené hlavně pochvaly
1022460	1026120	a jsou tam uvedení,
1026420	1027880	včetně fotografiích.
1028340	1029440	Tady hlavně lidé,
1029560	1031080	kteří tady sedí vepředu
1031080	1035500	a ti drobní, co jsou zastupitelé,
1035860	1037000	na ty se nedostane.
1038000	1042260	Ti prostě nemají tu samou propagandu.
1042900	1047440	No, tak je to 930 tisíc výtisků
1047500	1049300	a když to má každý v rukou,
1049380	1051160	tak to má nějakou sílu.
1051160	1054040	No, tak buďme přímeji v to.
1054860	1058060	No, dále bych chtěl také upozornit
1058060	1060000	na to zadlužování.
1060520	1064060	Tomáš Baťa, jeho kredo a heslo bylo,
1065120	1069980	buďte věřitele nikoli v dlužnici.
1070480	1072880	No, ale tady je to vedené obráceně.
1073440	1076060	Čím víc, ale je to i na jiných místech,
1076380	1077580	čím víc se zadlužit,
1077580	1079900	mi je to lepší. No, takový je trend.
1080100	1081900	Dále pan Baťa skutečně,
1082380	1084100	to bylo teďka pořád o něm,
1084200	1085160	tak to vzpomínali
1085160	1087720	a toto prohlásil.
1088800	1091400	No, dále bych chtěl upozornit,
1091400	1093400	že opět začne
1093400	1096760	po dokončení té přeložky,
1096900	1099700	té silnice, co vede na Velikovou,
1100100	1102920	se rozkopávat ulice Zámecká,
1103380	1105000	protože se tam bude dělat
1105000	1107780	nová připojka v plínu.
1108480	1110680	No a tak je to trochu divné.
1110780	1112040	Já jsem tam zažil už,
1112520	1113860	co se dělala ta cesta,
1114260	1116600	se znovu rozkopávala ohledně káblů,
1116660	1118060	ale to byl krátký úsek.
1118560	1120160	No, tak teďka to bude holší.
1120160	1124100	No a tak to je tak dané.
1124320	1127180	No ale jinak budu už končen,
1127220	1130300	nebudu tady trčet dál,
1131040	1132420	nic kam to nevede,
1132540	1134860	bez tak na nic to nezměním,
1135020	1138780	takže bych to doklepal do těch voleb nějak
1138780	1141360	a pak už bych to mám chuť zabalit.
1141480	1144220	To určitě budou mít spoustu lidí radost,
1144220	1146440	ale opravdu to nikdo nevede,
1146760	1149120	protože ty odpovědi jsou takové,
1149560	1151900	že škoda mluvit.
1152360	1154820	Jo a děkuji za slyšení.
1155040	1157000	Děkuji za dodržení časového limitu,
1157060	1157580	pane Hruza.
1158500	1159580	Před tím vystupujícím,
1159780	1160520	pan Šaur,
1160680	1162140	poprosím z mikrofonu.
1163800	1165000	Děkuji, máte slovo.
1165840	1166240	Děkuji.
1166240	1169160	Vážený pane primátore,
1169280	1170480	vážené zastupitelky
1170480	1172380	a vážení zastupitelé.
1173100	1174720	Navazují na naši petici
1174720	1177600	a na problematiku rozšíření
1177600	1179820	parkovacích míst u věžových domů.
1180900	1184000	Děkuji magistrátu za obsálou odpověď
1184000	1187360	týkající se bývalé čerpací stanice
1187360	1190320	u domu čisopopisné 861.
1190920	1193280	Z odpovědi však vyplývá
1193280	1196400	několik poměrně závažných skutečností.
1197280	1199140	Město historicky potvrdilo
1199140	1201460	existenci čerpací stanice
1201460	1202460	v daném prostoru.
1204040	1205400	Zároveň ale uvedlo,
1206160	1209100	že nemá dokumentaci
1209100	1211860	o odstranění podzemních nádrží.
1212980	1213500	Neví,
1213500	1215980	zdají jsou nádrže stále v zemi.
1217020	1220880	Nemá statické ani geotechnické posouzení.
1220880	1225020	Neeviduje ekologickou zátěž
1225020	1229780	a zároveň nemá plán dalšího řešení.
1230600	1231440	Jinými slovy,
1232220	1234080	město dnes vlastně neví,
1234720	1236840	co se pod tímto územím nachází.
1237860	1239420	Přesto se celá věc
1239420	1242620	uzavírá pouze konstatováním,
1242620	1246760	že lze předpokládat,
1247760	1250480	že likvidace proběhla správně.
1252040	1253980	Já se proto chci zeptat
1253980	1255720	velmi jednoduše a prakticky.
1256500	1259620	V místě stále existují poklopy
1259620	1262100	po bývalých podzemních nádržích.
1262760	1264800	Proč je město neotevře
1264800	1268020	a neověří skutečný stav?
1268020	1272720	Nemluvím o žádné drahé investici
1272720	1273960	ani rozsáhlé sanaci.
1274660	1276480	Mluvím o základním technickém
1276480	1278200	ověření reality v terénu.
1278920	1281740	Protože pokud město nemá dokumentaci,
1282400	1283420	nemá posudky
1283420	1284740	a neví,
1285300	1287520	zda tam nádrže jsou nebo nejsou,
1287520	1289520	pak přece to není normální,
1290760	1292620	aby po 40 letech
1292620	1295960	vycházelo jen z domněnek.
1295960	1299040	A současně připomínám,
1299740	1301780	že obyvatele věžových domů
1301780	1305000	dlouhodobě řeší kritický nedostatek
1305000	1306160	parkovacích míst.
1306980	1309400	Byla by škoda předem odmítat
1309400	1311620	možné řešení parkování
1311620	1312460	jen proto,
1313120	1314540	že město nikdy
1314540	1317280	pořádně neprověřilo
1317280	1318540	stav území
1318540	1320940	po bývalé čerpací stanici.
1321440	1322360	Děkuji za pozornost.
1325960	1334500	Já dovolím si jednou krátkou reakci.
1334920	1336560	My jsme samozřejmě začali
1336560	1338300	prověřovat dokumentaci,
1338400	1341320	protože je to více jak 40 let,
1341460	1342840	kdy ta čerpací stanice
1342840	1344840	byla uzavřena.
1345440	1346320	Takže jsme začali tím,
1346420	1347500	že jsme jak na katastru,
1347600	1349160	tak ve státním archivu naklečůvce
1349160	1350920	chtěli dohledat dokumentaci k tomu,
1351260	1353140	jestli ta čerpací stanice byla
1353140	1355160	odstraněna tak, jak bývalo
1355160	1356040	v té době zvykem,
1356140	1357460	to znamená na základě
1357460	1358620	projektových dokumentací,
1358700	1359680	případně rozhodnutím
1359680	1361060	stavebního úřadu v té době.
1361520	1362900	To se nám prokázat nepodařilo,
1363020	1364280	to znamená předpokládáme,
1364400	1366360	že v té zemi ty nádrže jsou.
1366820	1367920	Dalším krokem samozřejmě
1367920	1369480	bude odevření těch nádrží.
1369600	1370160	Předpokládáme,
1370260	1371060	že jsou zasypány
1371060	1372480	nějakým inertním materiálem,
1372620	1375040	protože na těch nádržích
1375040	1376200	vyrostla zeleň,
1376300	1377260	v současné době tam
1377260	1378660	zeleň neustále je
1378660	1379540	a nikdy jsme tam
1379540	1380600	žádné problémy,
1380640	1382340	co se týká ekologické zátěže,
1382680	1383440	nezaznamenali.
1383880	1385360	Takže myslím si,
1385740	1386780	nevím, jestli je přítoven
1386780	1387800	šef v městské zeleně,
1387900	1389640	ale je to majetkově spadající
1389640	1390360	pod městskou zeleň
1390360	1392020	a plánujeme tam samozřejmě
1392020	1393020	ty nádrže otevřít
1393020	1394020	a podívat se, co tam je.
1394180	1395540	Takže na příštím zastupitelstvu,
1395620	1396980	případně písemně vám odpovíme,
1397100	1398340	tak jak žádáte,
1398800	1400400	jak ten průzkum dopadl.
1400940	1402440	Jenom průběžná informace.
1402440	1404160	A děkuji za zdržení
1404160	1406540	časového rámce
1406540	1408880	a to byl poslední vystupující.
1409340	1410240	Víc přihlášek nemám,
1410340	1411720	pane primátore, předávám slovo.
1417720	1419200	Děkuji všem vystupujícím
1419200	1420060	i panu tajemníkovi
1420060	1421640	za vedení tohoto bodu
1421640	1424020	a budeme pokračovat dál,
1424140	1426520	co znamená dalším bodem programu
1426520	1428260	je schválení dnešního programu
1428260	1430320	zasedání zastupitelstva města Zlína.
1430320	1433500	Dne 12. května 2026
1433500	1435200	byl uvolněn doplněný návrh
1435200	1436900	programu, do které byl zařazen bod,
1437820	1438840	kterým je nesouvlast
1438840	1440700	s vymezením akcelerační oblasti
1440700	1443320	AOS 5 Malenovice,
1444660	1446140	který jste spolu s ostatní materiály
1446140	1447560	obdrželi v elektronické podobě
1447560	1449120	a v programu je otíslován tak,
1449580	1451520	jak byl dodatečně zařazen.
1452340	1453380	Tam se znamená někdo
1453380	1454960	navržený programu připomínky
1454960	1455700	či doplňky.
1458000	1459340	Poprosím pana Skálu.
1460320	1462060	Vážení zastupitelé,
1462220	1463260	vážené vedení,
1463540	1464100	radnice,
1464300	1465360	řeknu to zkráceně,
1466160	1468940	nebo v polovině roku 24
1468940	1470960	jsme schválili bezpatnou dopravu
1470960	1472620	seniorů od 80 let.
1473620	1475160	Já jsem si dál tu práci
1475160	1476500	a prověřil jsem,
1476660	1477680	jak je to v republice.
1478880	1480320	Byl jsem z toho velmi zklamený,
1481100	1482300	tak jsem zajel jenom
1482300	1483480	na moravské kraje
1483480	1485780	a na moravské statutární města.
1486780	1487840	A realita je taková,
1487840	1489940	vzal jsem za Čech jenom Prahu.
1489940	1492020	Tam je to od 65 let,
1492540	1494020	Brno od 70 let,
1494560	1496460	Ostrava od 65 let,
1496920	1498720	Olomouc od 65 let.
1500020	1501620	Průměrný věk dožití
1501620	1503200	v České republice
1503200	1504900	u mužů 77 let,
1505060	1507320	už jen 83 let.
1507680	1509720	Ta naše hranice je prosrandu.
1509720	1512060	Většina mužů se prostě
1512060	1513780	nesveze zadarmo bez líně.
1515340	1516480	Takže já by navrhoval,
1516540	1517800	abychom tu hranici snížili
1517800	1518400	na 72.
1525400	1526720	Můžu teda se zeptat,
1526720	1527760	když si navrhujete,
1528200	1529600	aby se do dnešního,
1529600	1532620	do dnešního zastupitelstva
1532620	1535280	přidal bod týkající se
1535280	1537520	jako z...
1537520	1539060	A máte takový návrh,
1539140	1539580	prosím,
1540420	1541220	jako písemně.
1543060	1544000	Tak můžeme to udělat tak,
1544060	1544900	že to nachystáte,
1545020	1545980	proč taky teda ten bod
1545980	1547180	a abychom vůbec měli
1547180	1547920	o čem hlasovat
1547920	1548620	teda do příštího zastupitelstva.
1549440	1549740	Protože to,
1549840	1551320	že tady řeknete ten návrh,
1551440	1552960	jako tomu rozumíme asi všichni,
1552960	1554420	víme, co se tím chce říct.
1555080	1557000	A já bych to otevřel v diskuzi,
1557300	1559300	že tam víceméně není problém,
1559360	1560700	abychom to tam prozečili tam.
1560700	1563180	Ale my v současné chvíli
1563180	1565180	jako nejsme podle mě schopni
1565180	1566500	řešit usnesení,
1566600	1567900	pokud ho nemáme navržené,
1567980	1569500	nemáme vlastně vůbec podklady
1569500	1570340	k tomu jednání,
1570420	1571900	protože co se týká,
1571980	1572760	abychom o tomto měli
1572760	1573760	relevantně rozhodnout,
1573900	1574380	tak si myslím,
1574440	1575540	že bychom měli mít podklady
1575540	1576760	o tom, kolik by to město
1576760	1578320	z ní stálo navíc
1578320	1579660	a další vlastně,
1579660	1580920	další aspekty
1580920	1583520	a vedle toho také předjednanou
1583520	1584160	tuto,
1584920	1585940	nebo aspekty otevří
1585940	1586860	tuto jednání také
1586860	1587880	s městním Otrkovice,
1590700	1592300	a neschválí město Otrkovice,
1592420	1593660	tak to je vlastně k ničemu.
1594440	1594720	To znamená,
1594780	1596200	protože na změně tarifu
1596200	1596960	musí být souhlas
1596960	1598040	obou zastupitelstv
1598040	1599420	jako v měst Zlína,
1599520	1600140	tak Otrokovic,
1600220	1601180	takže tam je potřeba
1601180	1602820	opravdu ty věci jednak
1602820	1604960	předjednávat s Otrokovicemi
1604960	1605700	a druhá věc je,
1605760	1606780	že opravdu pokud o to máme
1606780	1608040	řešit a hlasovat,
1608600	1609280	tak bychom měli mít
1609280	1610600	u sebe relevantní informace
1610600	1612080	o tom, kolik by to reálně stálo,
1612160	1612780	kdyby to mělo dopad
1612780	1613840	na rozpočet města Zlína.
1613840	1619940	A tam se s nás dělali srandu,
1620060	1621360	že koupujeme na jedné straně
1621360	1624160	za desítky a stovky milionů
1624160	1626000	elektrické trolejbusy
1626000	1626840	a na druhé straně
1626840	1628000	máme nejvyšší hranici
1628000	1631100	pro seniory v České republice.
1631220	1632360	Myslím si, že je to sluda,
1632520	1633880	že bychom se na tým měli zamyslet.
1634240	1636120	Jestli to budeme projednávat
1636120	1636840	na příštím zastupitelstvu,
1637760	1639840	já jsem to chtěl navrhnout
1639840	1641080	proto, aby neřekl,
1641160	1642960	že je to předvolební akce.
1643840	1646220	No, můžeme si o tom říkat,
1646300	1647360	jak chceme, každopádně
1647360	1649380	já za sebe jenom řeknu jednu věc.
1650580	1651740	Seniori ve Zlíně
1651740	1654320	nejezdí za tisíce korun ročně.
1655240	1656660	Ve Zlíně je senior pás,
1656760	1658840	který stojí, pokud si pamatuju,
1658940	1660460	správně 600 korun na rok.
1661220	1662480	To znamená, když to vezmete,
1662600	1663340	je to 600 korun,
1663400	1664740	kdybyste to viděl do teda 12,
1665080	1665760	tak se bavíte,
1665840	1668080	že to je 50 korun měsíčně.
1668620	1670240	Já nevím, jestli 50 korun měsíčně
1670240	1671360	je tak vysoký výdaj,
1671480	1673080	který by ten senior nemohl dát,
1673080	1675180	jako já chápu, že je trend
1675180	1678040	a populistickým způsobem
1678040	1679160	tady všechno říkat,
1679260	1680240	že je všechno zadarmo,
1680780	1682360	ale my na městskou hromadnou dopravu
1682360	1685660	doplácíme přes 220 milionů korun ročně
1685660	1687580	a jako začít tvrdit,
1687660	1688480	že to je zadarmo,
1688600	1689740	to prostě tak není.
1690280	1690960	Takže za mě,
1691640	1693460	jako to, že někdo má zaplatit
1693460	1695440	50 korun měsíčně za to,
1695520	1696540	že může jezdit jak chce,
1696800	1698940	podle mě není jako nějaký vysoký výdaj
1698940	1700080	a nemyslím si za sebe,
1700080	1704040	že bychom jako tohle měli nějakým způsobem rušit.
1704180	1706000	Jako srovnávat město Zín s Prahou,
1706000	1708120	tak když už se bavíte v Praze,
1708220	1709720	tak prosím tam zkuste teda dojednat,
1709820	1710780	stejně jak tam jednám já,
1710880	1712600	že dostaneme v rámci rozpočtu
1712600	1715240	učení daní místo 22 067
1715240	1717220	a pak to doje městskou hromadnou dopravu,
1717300	1718360	dejme když je pro všechny zdarma.
1718360	1721440	Ale my srovnáváme jabka s ruškami
1721440	1724280	a ten důvod, proč ve Zlíně
1724280	1726800	je vlastně ta hranice od ta,
1726940	1727940	řekněme takto výšší,
1728060	1730340	pro ty obročany, kteří mají jezdit zdarma,
1730900	1732620	je ten důvod, že jsme nechtěli,
1733080	1734720	aby měli problémy s vyřizováním
1734720	1735940	právě toho senior pasu,
1736060	1737620	protože samozřejmě už v tomto věku
1737620	1739240	jezdit na dopravní podnik
1739240	1740740	a domlouvat se a vlastně řešit tady
1740740	1742280	vyřízení toho senior pasu
1742280	1743900	prostě je pro ně náročné.
1743900	1746500	Ale ta myšlenka nebyla o tom,
1746600	1748900	že se nemají žádným způsobem podílet
1748900	1750900	na, řekněme, na provozu
1751480	1753020	městské hromadné dopravy,
1753140	1754500	ale opravdu, abychom odlehčili
1754500	1755340	ty administrativy.
1755740	1757640	A prostě ty věci opravdu v něco stojí.
1760400	1762400	Koro penězí, tam jde o to.
1762880	1765000	Já jsem si teď dal tu práci,
1765100	1766800	několikrát jsem tou dopravou jel
1766800	1769880	v době od 9 do 12 hodin
1769880	1772900	a ta doprava není úplně vytížená,
1772900	1774240	takže myslím si, že kdyby tam
1774240	1776460	těch pár seniorů se svezlo zadarmo,
1776880	1777780	souvisí to i s tím,
1777880	1779920	že ti seniori tam držíjou starší auta
1779920	1781260	na sídlišti, kterýma jedou
1781260	1783280	třikrát, čtyrikrát za měsíc.
1783860	1785120	To by mohli udělat klidně
1785120	1787040	za jedci nakoupit nebo k doktorovi
1787040	1789080	tím trolejbusem, pokud jelom je zadarmo.
1789500	1791300	Vy potřebujete prázdný parkovič,
1791300	1793100	či to souvisí, to není jenom o penězi.
1793100	1797500	Jak říkám, pokud o tom máme hlasovat,
1797580	1798860	tak tomu za mě musí být připraveny
1798860	1800900	relevantní podklady, které k dnešním hodin
1800900	1802540	nejsou tady na stole.
1802720	1804600	Takže pokud já nemám problém
1804600	1806160	se o tom tady bavit, ale prosím,
1806240	1807880	dejme si na stůle jako relevantní data,
1808420	1810300	ať vůbec víme, jaký to má případně dopad,
1810300	1813700	to, že některé spoje nejsou tak vytížené,
1813840	1816160	tak v tom případě se taky může říct
1816160	1818260	jako návrh, že teda pojďme zrušit,
1818260	1820660	jestli teda chceme se bavit o nějaké ekonomice,
1821260	1823080	což si taky nemyslím, že je úplně správně.
1823680	1827160	A jako argumentace, že seniori mají
1827160	1830220	někde zaparkovaná auta, která využívají,
1830280	1832140	a když budou mít tu městskou hromadu dopravu
1832140	1834920	o 50 Kč měsíčně levnější,
1834920	1836720	tak ji začnou využívat i na nákupy,
1836800	1838120	tak to si myslím, že oba dva víme,
1838220	1838960	že asi nesmysl.
1839500	1843580	Takže jakoby prakticky můžeme se o tom bavit,
1843680	1844940	já s tím nemám vůbec problém,
1844940	1848700	ale pokud to má být na programu zastupitelstva,
1849320	1851620	tak prosím dodržujme jednací řád
1851620	1853200	zastupitelstva města Zdíná
1853200	1856380	a zároveň pokud je tedy nějaký bod,
1856460	1857280	který se má přidat,
1857400	1858760	tak k němu musí být podklady,
1858920	1860840	aby bylo o něm jak hlasovat.
1860840	1862960	To znamená, to není v současné chvíli
1862960	1864800	návrh na změnu usnesení,
1864920	1868760	to znamená u bodů, který máme v programu
1868760	1870720	a máme k němu informace,
1871260	1874160	ale vlastně aktuálně nemáme ty podklady,
1874160	1875660	co se týká například té ekonomiky
1875660	1876560	a důpadu na rozpočet.
1876660	1879280	Takže prosím, já to vůbec neodmítám,
1879340	1880440	tu debatu, ale prosím,
1880500	1881900	nejme k tomu relevantní data napřed.
1883440	1884560	Prosím, že pana Skálu.
1885940	1886680	Můžu ještě?
1886680	1890240	Já bydlím na silišti v Malenovicích,
1890360	1892720	to je siliště, které je postavené zhruba 60 let,
1892840	1894700	tam těch starších lidí je poměrně hodně
1894700	1899320	a myslím si, že toto opatření by nemuselo stát tolik peněz,
1899360	1902360	a že by dopravní podnik třeba na příští zastupitelstvu
1902360	1904460	mohl udělat nějaký návrh,
1904600	1906340	kolik podle jeho představ by to stálo.
1906340	1911760	Určitě jsme schopni zajistit ty informace,
1911920	1913800	abych se vám to rozesla, to není problém,
1913940	1915520	ale prakticky proto já vám říkám,
1915620	1918340	že dneska ty informace nemáme k dnešnímu dní,
1918480	1920500	tak jenom prosím, pokud se o to máme bavit,
1920980	1923200	tak mějme i všechny informace, to je za mě celé.
1923620	1925440	Poprosím, že náměstka Miroslava Chalánka.
1927140	1928840	Já děkuji za slovo, pane primátore.
1930160	1931860	Hezké dopoledne, dámy a pánové.
1931860	1934800	Já jenom krátkou reakci přes ty peníze.
1936340	1943240	Pan primátor říkal 65 až 80 600 korun celý odpás,
1943340	1945000	to znamená korunou 80 na den.
1947200	1950380	V případě, že půjdeme s tou hranicí níž,
1950460	1954180	tak samozřejmě z tržeb dopravního podniku něco vypadne.
1954260	1959160	Dá se říct, že zhruba 10 let je nějakých 7 až 8 milionů korun.
1959160	1963160	Ta otázka je, někdo to bude muset zaplatit.
1963160	1967560	To znamená, že máte dvě možnosti.
1967740	1971620	Buď toto vezmete ze salda, to znamená z té investiční rezervy,
1971700	1974440	o které se tady bavíme, že ji budeme používat,
1975260	1979080	anebo zvýšíte určité, pokud to chcete vyrovnat vevnitř,
1979160	1986920	tak v rámci stanovení ceníků to přenesete na určitou skupinu lidí.
1986920	1990940	Můžete to převést, na děti to nepřeneseme,
